SEXE,EDAT,DATA,ESDEVENIMENT,PAUTA,RECOMPTE
No classificat,No classificat,25/11/2021,Cas,No iniciada,44
Dona,60 a 69,25/11/2021,Crítics,Completa,1
Home,60 a 69,30/03/2021,Cas,No iniciada,78
Home,0 a 9,04/06/2021,Cas,No iniciada,32
Home,60 a 69,16/07/2021,Cas,Completa,94
Dona,40 a 49,04/11/2021,Hospitalització,No iniciada,1
Dona,40 a 49,02/08/2021,Cas,Completa,163
Dona,70 a 79,10/08/2021,Cas,Completa,59
Dona,70 a 79,10/03/2021,Cas,No iniciada,25
Home,70 a 79,12/11/2021,Cas,No iniciada,5
No classificat,No classificat,04/11/2021,Cas,No iniciada,18
Dona,10 a 19,11/09/2021,Cas,No iniciada,10
Dona,60 a 69,21/05/2021,Cas,Parcial,12
Dona,70 a 79,13/01/2021,Cas,No iniciada,151
Dona,50 a 59,17/04/2021,Cas,No iniciada,54
Home,60 a 69,19/07/2021,Cas,Completa,118
Dona,60 a 69,21/10/2021,Crítics,No iniciada,1
Dona,60 a 69,23/03/2021,Cas,No iniciada,79
Dona,50 a 59,04/11/2021,Hospitalització,Completa,1
Home,10 a 19,13/06/2021,Cas,No iniciada,18
Home,40 a 49,21/04/2021,Cas,No iniciada,185
Dona,10 a 19,08/07/2021,Cas,No iniciada,743
Home,40 a 49,14/11/2021,Hospitalització,No iniciada,1
Dona,30 a 39,08/09/2021,Cas,Completa,16
Home,20 a 29,08/10/2021,Cas,No iniciada,6
Home,0 a 9,12/05/2021,Cas,No iniciada,42
Dona,60 a 69,23/02/2021,Cas,No iniciada,65
Dona,10 a 19,19/10/2021,Cas,Completa,1
Dona,30 a 39,02/09/2021,Cas,Completa,22
Dona,50 a 59,18/05/2021,Cas,No iniciada,48
Dona,20 a 29,27/01/2021,Cas,No iniciada,207
Home,60 a 69,03/05/2021,Cas,Parcial,23
Dona,50 a 59,25/09/2021,Cas,Completa,7
Dona,20 a 29,07/03/2021,Cas,No iniciada,32
Home,60 a 69,17/08/2021,Cas,No iniciada,12
Dona,30 a 39,04/12/2021,Cas,No iniciada,25
Home,60 a 69,19/04/2021,Cas,No iniciada,61
Dona,40 a 49,30/07/2021,Cas,Parcial,23
Dona,10 a 19,06/05/2021,Cas,No iniciada,81
Home,20 a 29,28/03/2021,Cas,No iniciada,36
Dona,60 a 69,22/10/2021,Cas,No iniciada,2
Dona,30 a 39,25/11/2021,Crítics,No iniciada,1
Home,40 a 49,13/09/2021,Cas,No iniciada,19
Dona,80 o més,15/12/2021,Hospitalització,Completa,12
Home,50 a 59,13/11/2021,Crítics,Completa,1
Dona,30 a 39,17/05/2021,Cas,No iniciada,86
Dona,60 a 69,31/05/2021,Cas,Parcial,11
Dona,70 a 79,09/09/2021,Defunció,Completa,2
Home,60 a 69,23/07/2021,Cas,Parcial,36
Home,0 a 9,14/05/2021,Cas,No iniciada,44
Home,60 a 69,03/03/2021,Cas,No iniciada,57
Dona,70 a 79,11/08/2021,Cas,No iniciada,9
Dona,70 a 79,08/09/2021,Cas,Completa,16
Dona,70 a 79,05/09/2021,Cas,Completa,8
Dona,50 a 59,27/04/2021,Cas,Parcial,5
Dona,30 a 39,25/10/2021,Cas,Completa,22
Home,20 a 29,24/07/2021,Cas,Parcial,15
Dona,60 a 69,26/08/2021,Cas,Completa,27
Home,50 a 59,15/10/2021,Cas,No iniciada,8
Home,60 a 69,14/11/2021,Hospitalització,No iniciada,1
Home,40 a 49,27/08/2021,Cas,Parcial,3
Dona,40 a 49,04/11/2021,Cas,Parcial,1
Home,80 o més,12/10/2021,Crítics,Completa,1
Dona,10 a 19,03/05/2021,Cas,No iniciada,140
Dona,10 a 19,03/06/2021,Cas,No iniciada,49
Home,10 a 19,19/10/2021,Cas,Completa,6
Dona,20 a 29,24/06/2021,Cas,Parcial,4
Home,50 a 59,30/06/2021,Cas,Completa,34
Home,0 a 9,10/10/2021,Cas,No iniciada,3
Dona,60 a 69,30/08/2021,Cas,Completa,28
Dona,60 a 69,29/04/2021,Cas,Parcial,18
Home,60 a 69,30/01/2021,Cas,No iniciada,62
Home,10 a 19,25/04/2021,Cas,No iniciada,44
Dona,70 a 79,14/05/2021,Cas,No iniciada,9
Dona,40 a 49,25/06/2021,Cas,Parcial,16
Dona,50 a 59,24/09/2021,Cas,Completa,15
Dona,80 o més,31/07/2021,Defunció,No iniciada,2
Home,40 a 49,26/06/2021,Cas,Parcial,10
Dona,0 a 9,11/02/2021,Cas,No iniciada,76
Home,50 a 59,10/06/2021,Cas,No iniciada,14
Dona,50 a 59,27/06/2021,Cas,No iniciada,8
Dona,70 a 79,08/12/2021,Hospitalització,No iniciada,1
Dona,0 a 9,02/01/2021,Cas,No iniciada,29
Dona,10 a 19,13/12/2021,Cas,Completa,164
Home,30 a 39,08/08/2021,Cas,Parcial,4
Dona,40 a 49,03/09/2021,Cas,No iniciada,15
Dona,50 a 59,09/07/2021,Cas,Completa,104
Home,0 a 9,25/05/2021,Cas,No iniciada,34
Home,40 a 49,09/07/2021,Cas,No iniciada,225
Dona,60 a 69,07/07/2021,Cas,No iniciada,24
Dona,10 a 19,05/07/2021,Cas,Completa,15
Dona,70 a 79,29/07/2021,Cas,Parcial,1
Home,60 a 69,14/11/2021,Hospitalització,Parcial,1
Home,70 a 79,05/11/2021,Hospitalització,Completa,2
Dona,60 a 69,24/06/2021,Cas,Completa,2
Dona,50 a 59,27/07/2021,Cas,Completa,113
Home,20 a 29,01/08/2021,Cas,Completa,11
Dona,0 a 9,25/04/2021,Cas,No iniciada,24
Home,30 a 39,26/12/2021,Hospitalització,Parcial,1
Dona,20 a 29,06/08/2021,Cas,Parcial,22
Home,10 a 19,06/01/2021,Cas,No iniciada,67
Dona,20 a 29,04/04/2021,Cas,No iniciada,42
Home,40 a 49,12/10/2021,Cas,Parcial,1
Home,30 a 39,17/08/2021,Cas,Parcial,10
Dona,30 a 39,23/09/2021,Cas,No iniciada,8
Home,10 a 19,06/08/2021,Cas,Parcial,9
Home,70 a 79,02/12/2021,Cas,No iniciada,3
Home,20 a 29,21/10/2021,Cas,No iniciada,7
Dona,0 a 9,29/01/2021,Cas,No iniciada,145
Dona,10 a 19,20/08/2021,Cas,Parcial,12
Home,60 a 69,02/11/2021,Crítics,Completa,1
Dona,60 a 69,01/09/2021,Cas,Completa,13
Home,50 a 59,25/07/2021,Cas,No iniciada,23
Home,30 a 39,26/07/2021,Cas,Completa,38
Home,60 a 69,07/05/2021,Cas,No iniciada,21
Home,50 a 59,14/11/2021,Crítics,No iniciada,1
Home,70 a 79,25/11/2021,Hospitalització,No iniciada,2
Dona,0 a 9,29/10/2021,Cas,No iniciada,28
Dona,20 a 29,04/12/2021,Cas,Completa,56
Home,40 a 49,07/08/2021,Cas,Completa,43
Dona,60 a 69,31/07/2021,Cas,Completa,44
Home,60 a 69,12/10/2021,Hospitalització,Completa,1
Home,10 a 19,27/07/2021,Cas,Parcial,12
Dona,60 a 69,07/05/2021,Cas,Parcial,19
Dona,80 o més,14/12/2021,Defunció,Completa,3
Dona,50 a 59,24/08/2021,Cas,Completa,46
Home,40 a 49,03/11/2021,Cas,Parcial,1
Home,30 a 39,25/08/2021,Cas,No iniciada,35
Dona,70 a 79,18/04/2021,Cas,No iniciada,22
Home,30 a 39,04/07/2021,Cas,Parcial,3
Home,0 a 9,24/04/2021,Cas,No iniciada,38
Dona,30 a 39,31/01/2021,Cas,No iniciada,63
Dona,40 a 49,25/08/2021,Cas,Completa,51
Dona,70 a 79,18/05/2021,Cas,No iniciada,2
Dona,70 a 79,27/02/2021,Cas,No iniciada,21
Dona,10 a 19,26/12/2021,Hospitalització,No iniciada,1
Dona,70 a 79,30/03/2021,Cas,No iniciada,65
Home,0 a 9,28/02/2021,Cas,No iniciada,15
Dona,30 a 39,08/07/2021,Cas,Parcial,58
Home,40 a 49,09/09/2021,Cas,No iniciada,12
Home,20 a 29,08/09/2021,Cas,No iniciada,19
Home,60 a 69,14/11/2021,Cas,No iniciada,2
Home,50 a 59,08/07/2021,Cas,Parcial,47
Dona,60 a 69,18/04/2021,Cas,No iniciada,22
Home,40 a 49,19/03/2021,Cas,Parcial,3
Home,30 a 39,10/07/2021,Cas,Completa,21
Home,50 a 59,13/02/2021,Cas,No iniciada,63
Home,20 a 29,17/04/2021,Cas,No iniciada,45
Dona,30 a 39,04/06/2021,Cas,Completa,1
Dona,0 a 9,08/12/2021,Cas,No iniciada,114
Dona,80 o més,02/11/2021,Cas,Completa,16
Dona,60 a 69,25/02/2021,Cas,No iniciada,52
Dona,70 a 79,16/09/2021,Cas,Completa,12
Home,0 a 9,15/09/2021,Cas,No iniciada,34
Dona,50 a 59,20/04/2021,Cas,Completa,6
Home,50 a 59,29/05/2021,Cas,No iniciada,21
Home,60 a 69,17/11/2021,Crítics,Completa,1
Home,70 a 79,03/12/2021,Crítics,No iniciada,1
Home,40 a 49,24/08/2021,Cas,No iniciada,33
Dona,40 a 49,09/09/2021,Cas,Parcial,3
Home,30 a 39,26/08/2021,Cas,Completa,25
Home,50 a 59,29/03/2021,Cas,No iniciada,162
Home,0 a 9,25/11/2021,Hospitalització,No iniciada,1
Dona,50 a 59,30/05/2021,Cas,No iniciada,17
Dona,50 a 59,08/02/2021,Cas,Parcial,7
Dona,20 a 29,30/08/2021,Cas,Completa,15
Home,20 a 29,08/09/2021,Cas,Completa,15
Home,30 a 39,09/07/2021,Cas,Parcial,54
Dona,70 a 79,04/11/2021,Crítics,Completa,1
Dona,30 a 39,01/04/2021,Cas,Parcial,7
Home,10 a 19,21/11/2021,Cas,Completa,5
Dona,70 a 79,29/04/2021,Cas,No iniciada,32
Dona,80 o més,04/11/2021,Hospitalització,No iniciada,1
Dona,60 a 69,10/02/2021,Cas,No iniciada,70
Home,20 a 29,10/04/2021,Cas,Parcial,2
Home,70 a 79,09/12/2021,Hospitalització,Completa,8
Home,10 a 19,07/08/2021,Cas,No iniciada,96
Home,30 a 39,01/12/2021,Cas,Parcial,2
Dona,30 a 39,28/01/2021,Cas,Parcial,9
Home,20 a 29,09/09/2021,Cas,Completa,18
Dona,0 a 9,18/10/2021,Cas,No iniciada,13
Home,60 a 69,02/05/2021,Cas,Parcial,15
Dona,0 a 9,28/08/2021,Cas,No iniciada,13
Dona,10 a 19,18/07/2021,Cas,Completa,4
Dona,50 a 59,31/08/2021,Cas,Completa,32
Dona,60 a 69,01/08/2021,Cas,No iniciada,12
Home,0 a 9,19/06/2021,Cas,No iniciada,10
Home,50 a 59,11/03/2021,Cas,Parcial,1
Dona,70 a 79,11/05/2021,Cas,No iniciada,13
Dona,50 a 59,13/04/2021,Cas,Completa,7
Dona,60 a 69,28/04/2021,Cas,No iniciada,42
Home,40 a 49,31/10/2021,Cas,No iniciada,5
Dona,60 a 69,09/12/2021,Crítics,Completa,1
Home,70 a 79,17/06/2021,Cas,Completa,4
Home,30 a 39,19/11/2021,Cas,Completa,55
Home,50 a 59,17/04/2021,Cas,Parcial,1
Dona,50 a 59,09/06/2021,Cas,Parcial,13
Home,50 a 59,02/03/2021,Cas,No iniciada,78
Home,50 a 59,05/10/2021,Cas,No iniciada,4
Dona,80 o més,23/11/2021,Defunció,Completa,2
Home,60 a 69,06/09/2021,Cas,Completa,27
